Sentence,Tag
Audiences hailed them as promoting tolerance and appreciation for diverse cultures .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Witnesses reported a number of injuries .,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Bosnian police have arrested a former Bosnian Serb police officer suspected of genocide in the 1995 massacre of 8,000 Muslim men and boys .","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'I-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'I-tim', 'I-tim', 'I-tim', 'O', 'O', 'O', 'O']"
"U.S. Secretary of State Hillary Clinton says the Obama administration has decided to engage directly with Burma 's military government , in an effort to push its military leaders toward democratic reform .","['B-org', 'O', 'O', 'B-org', 'B-per', 'I-per', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The declaration also said many innocent Muslims are spending their lives behind bars , having been falsely accused of involvement in acts of terror .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Tributes to the Holocaust survivor have poured in from leaders around the world .,"['O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Nadia Mohammed Abdel Hafez died in a hospital in Cairo early Friday .,"['B-per', 'I-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-tim', 'O']"
The U.S. military says coalition air strikes hit five targets in a small western town near the Syrian border .,"['O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O']"
Norway has barred its oil fund from investing in China 's Dongfeng Motor Group because the firm sell arms supplies to military-ruled Burma .,"['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
He will be brought before a judge on Wednesday .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
Both sides have said they are ready for a second round of talks on Iraq .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
EU Enlargement Commissioner Olli Rehn is expected to press Turkey to sign a protocol that will amount to a de-facto recognition of Cyprus ' internationally-recognized Greek government .,"['B-org', 'I-org', 'I-org', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'B-gpe', 'O', 'O']"
Japan has said it will attempt to shoot down missiles headed toward its territory .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mandy Clark reports from Beijing .,"['B-per', 'I-per', 'O', 'O', 'B-geo', 'O']"
